,0,블로그 크롤링 결과,뉴스 크롤링 결과
61,도봉구 우이천 등축제," <dd class=""sh_blog_passage"">매년 윤자매가족은 우이천에서 벚꽃축제, 또 벚꽃축제가 끝나면 열리는 등축제를... 여기는 살기좋은 <strong class=""hl"">도봉구</strong>, <strong class=""hl"">우이천 등축제</strong> 다녀오신 모든 분들 꽃길만 걸으세요♥</dd><dd class=""sh_blog_passage"">2019년 <strong class=""hl"">우이천 등축제</strong> 장소 도착하니 너무나도 이쁜 조명들이 눈이 돌아 갈정도로 멋졌어요. 처음보는 두아이도 너무 좋아하고 신나했다죠. <strong class=""hl"">도봉구</strong> 사람들도 많이...</dd>"," <dd>등에 소망을 적어 <strong class=""hl"">우이천</strong>에 띄우는 '<strong class=""hl"">우이천</strong> 소망등 띄우기'가 진행된다. 이동진 <strong class=""hl"">도봉구</strong>청장은 ""이번 <strong class=""hl"">우이천 등축제</strong>는 제100회 전국체전의 성공적인 개최를 기원하며 다양한 문화프로그램을 연계해서 마련했다""고 말했다.</dd><dd>4월6일~4월12일 개최 등 8작품 37점 전시해 [시민일보=이진원 기자]서울 <strong class=""hl"">도봉구</strong>(구청장 이동진)는 오는... 이동진 구청장은 ""이번 <strong class=""hl"">등축제</strong>로 <strong class=""hl"">우이천</strong> 벚꽃길이 서울의 대표적인 벚꽃 관광 브랜드로 자리 잡을...</dd>"
62,도봉구 방학천 등축제," <dd class=""sh_blog_passage""><strong class=""hl"">도봉구</strong> <strong class=""hl"">등축제</strong> 보러 <strong class=""hl"">방학천</strong> 다녀왔어요~ (ft.둘리♡) 진작 다녀왔으면 좋았을껄 거의 끝날때 다녀왔네요ㅠ 그래도 다녀온거에 만족만족 매년 행사가 진행되고 올해가...</dd><dd class=""sh_blog_passage"">난 여전히 '<strong class=""hl"">방학천 등축제</strong>'로 지칭하곤 하지만 정식 명칭으로는 '<strong class=""hl"">도봉구</strong> <strong class=""hl"">등축제</strong>'인... 앞으로도 박상민, 정수라 <strong class=""hl"">등</strong> 누군가에겐 추억을 불러 일으킬, 다른 누군가에겐...</dd>"," <dd>서울 <strong class=""hl"">도봉구</strong>(구청장 이동진)는 오는 11일~16일 <strong class=""hl"">방학천</strong>에서 ‘제8회 <strong class=""hl"">도봉구</strong> <strong class=""hl"">등축제</strong>’를 개최한다고 8일 밝혔다. 올해는 ‘빛이 머무는 공간’을 주제로 아이들이 좋아하는 인기 동화와 만화 캐릭터, 궁중의 화려한 전통 춤...</dd>"
63,정의공주와 함께하는 도봉한글잔치," <dd class=""sh_blog_passage"">재탄생시키는 ‘<strong class=""hl"">정의공주와 함께하는 도봉한글잔치</strong>’를 개최하고 있다. ▲사진설명- 도봉문화원이 주관하는 ‘정의공주와 함께하는 제8회 도봉한글잔치’가 9일...</dd><dd class=""sh_blog_passage"">▲사진설명- <strong class=""hl"">정의공주와 함께하는 도봉한글잔치</strong>에서 세종대왕과 정의공주가... 주최하는 ‘정의공주와 함께하는 제8회 도봉한글잔치’가 지난 10월 9일 방학동 원당샘...</dd>"," <dd>도봉문화원이 주최한 '<strong class=""hl"">정의공주와 함께 하는 도봉한글잔치</strong>'. 올해로 8회째다. 한글을 창제한 세종대왕 둘째딸인 정의공주는 남편인 양효공 안맹담과 함께 방학동에 잠들어 있다. 도봉구는 매년 한글날 정의공주를...</dd><dd>그동안 도봉문화원에서는 매년 한글날에 한글 창제의 숨은 공로자 정의공주의 가치를 재조명하고, 역사인물 정의공주를 예술로 재탄생시키는 '<strong class=""hl"">정의공주와 함께하는 도봉한글잔치</strong>'를 개최해오고 있다.</dd><dd>그동안 도봉문화원에서는 매년 한글날에 한글 창제의 숨은 공로자 정의공주의 가치를 재조명하고, 역사인물 정의공주를 예술로 재탄생시키는 ‘<strong class=""hl"">정의공주와 함께하는 도봉한글잔치</strong>’를 개최해 오고 있다. 이동진...</dd><dd>소리극으로 <strong class=""hl"">정의공주</strong>를 다시 주제 공연으로 선보이게 됐습니다.) 이번 행사는 <strong class=""hl"">도봉</strong>구 원당샘공원에서 관객이 <strong class=""hl"">함께</strong> 참여<strong class=""hl"">하는</strong> 플래시몹 공연과 <strong class=""hl"">함께</strong> 청소년을 대상으로 <strong class=""hl"">한글</strong>을 주제로 한 <strong class=""hl"">한글잔치</strong> 백일장 대회도 현장에서...</dd><dd>09, 서울특별시 종로구) 일반시민과 전문가 그리고 세계인까지 다<strong class=""hl"">함께</strong> 즐기는 <strong class=""hl"">한글</strong>문화 축제다. [사진=한국관광공사] ■ <strong class=""hl"">도봉한글잔치</strong> 2019(10.09, 서울특별시 <strong class=""hl"">도봉</strong>구) <strong class=""hl"">도봉</strong>의 역사인물 <strong class=""hl"">정의공주</strong>(1415년~1447년)는...</dd><dd>구성된 '제7회 <strong class=""hl"">정의공주와 함께하는 도봉한글잔치</strong>'를 개최한다. 행사가 진행되는 원당샘 공원 일대와 간송옛집, 정의공주 묘 인근에는 구민들이 아름다운 한글로 쓴 소망과 직접 그려 넣은 그림들로 만든 수백 개의...</dd>"
64,한강몽땅 여름축제," <dd class=""sh_blog_passage"">제100회 전국체전 2019 <strong class=""hl"">한강몽땅 여름축제</strong> 에서 해띠, 해온과 함께하는 미니체전... 한강몽땅 어떻게 진행되고 있는지 그것도 함께 구경하고 싶었거든. 이번에 한강이...</dd><dd class=""sh_blog_passage"">'<strong class=""hl"">한강몽땅</strong> <strong class=""hl"">축제</strong>'라고 혹시 들어보셨나요? 올해로 벌써 7년차인 서울 대표... 더운 <strong class=""hl"">여름</strong>에 진행되는 만큼 외부엔 물놀이를 즐길 수 있는 에어바운스도 마련되어...</dd>"," <dd>올 여름 풍성한 프로그램으로 ‘감동과 휴식’이 있는 도심 속 피서지를 꾸몄던 ‘2019 <strong class=""hl"">한강몽땅 여름축제</strong>’가 이번 주 대단원의 막을 내린다. 축제의 피날레와 올 여름 휴가의 끝자락을 이색 퍼포먼스로 장식해 줄...</dd>"
65,한강서래섬꽃축제," <dd class=""sh_blog_passage"">바로 <strong class=""hl"">한강 서래섬</strong> 유채<strong class=""hl"">꽃축제</strong>를 진행중이라고 써있어서.. 일단 알게모르게 노랑... 저번주에는 '이런 <strong class=""hl"">꽃</strong> 같은 날엔' ㅅㅂㅅ 라는 형태로 이렇게 사진을 찍을수 있는...</dd><dd class=""sh_blog_passage"">봄에 피는 <strong class=""hl"">꽃</strong> 중에서 제가 좋아라 하는 <strong class=""hl"">꽃</strong> 이거든요!!ㅋㅋㅋㅋㅋ 제가 노란색 등 어... ㅋㅋㅋㅋ <strong class=""hl"">한강 서래섬</strong> 유채<strong class=""hl"">꽃축제</strong> 가서 꽃을 선명하게 찍어봅니다~ 가까이서 줌을...</dd>"," <dd>찾는다면 ▲구리<strong class=""hl"">한강</strong>시민공원(코스모스<strong class=""hl"">축제</strong>/9월 27~29일) ▲서울 잠원<strong class=""hl"">한강</strong>공원 그라스정원(핑크뮬리... 반포<strong class=""hl"">한강</strong>공원 <strong class=""hl"">서래섬</strong>(흰 메밀꽃 ) ▲서울 올림픽공원 들꽃마루(코스모스 )를 추천한다. 조현용 경희대학교 교수는...</dd><dd>서울에서 가볼 만한 곳 중의 하나인 <strong class=""hl"">서래섬 꽃 축제</strong>는 반려동물과 함께 <strong class=""hl"">한강</strong>에 산책을 오는 시민들도 부담없이 방문해서 좋은 추억을 남기기에 좋다. 한편 메밀<strong class=""hl"">꽃 축제</strong>를 방문하고 인증 사진을 개인 SNS에 업로드하면 여행...</dd><dd>가을 날씨를 보인 6일 오후 서울 서초구 반포<strong class=""hl"">한강</strong>공원 <strong class=""hl"">서래섬</strong>에서 열린 2019 <strong class=""hl"">한강 서래섬</strong> 메밀<strong class=""hl"">꽃축제</strong>를 찾은 시민들이 즐거운 시간을 보내고 있다. 2019.10.6/뉴스1</dd><dd>6일 오전 서울 서초구 반포<strong class=""hl"">한강</strong>공원 <strong class=""hl"">서래섬</strong>에서 '2019 <strong class=""hl"">한강 서래섬</strong> 메밀<strong class=""hl"">꽃 축제</strong>'가 열리고 있다. 2019.10.6</dd><dd>또 <strong class=""hl"">한강</strong>대로를 비롯해 다양한 장소가 불<strong class=""hl"">꽃축제</strong> 명당으로 거론된다. 반포 <strong class=""hl"">한강</strong>공원, N서울타워, 노량진 사육신공원, 노량진 수산시장 주차타워 4층, 선유도공원, 달마공원, 상도근린공원, <strong class=""hl"">서래섬</strong>, 용산도서관 등이다....</dd>"
66,제4회충무로뮤지컬영화제," <dd class=""sh_blog_passage"">୧( “̮ )୨✧ http://chimff.com 충무로뮤지컬영화제 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>(CHIMFF 2019) 2019.7.10(수)-2019.7.13(토) chimff.com 우선 충무로뮤지컬영화제 자원활동가를...</dd><dd class=""sh_blog_passage"">개인적으로는 &lt;라라랜드&gt;가 상영했던 제2회 충무로뮤지컬영화제에 관람 계획을 세웠다가 일정상 포기한 적이 있었는데, 이번 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>에서도...</dd>"," <dd>'<strong class=""hl"">제4회 충무로뮤지컬영화제</strong>' 공식 기록 영상 캡처 '<strong class=""hl"">제4회 충무로뮤지컬영화제</strong>'가 제4회 영화제의 공식 기록 영상을 공개했다. 이번 공식 기록 영상은 7월 10일 충무아트센터 대극장에서 펼쳐진 개막식부터 13일 폐막식에...</dd><dd>이장호 서울영상위원회 위원장(오른쪽), 윤진호 충무아트센터 사장이 10일 오후 서울 충무아트센터 대극장에서 열린 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>개막식에서 개막을 선언하고 있다. 이장호 서울영상위원회 위원장...</dd><dd>중구(구청장 서양호)는 오는 10일(수)부터 13일(토)까지 충무아트센터에서 (재)중구문화재단 주관으로 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>가 열린다고 밝혔다. 중구(구청장 서양호)는 오는 10일(수)부터 13일(토)까지...</dd>"
67,서대문독립민주축제," <dd class=""sh_blog_passage"">광복절 행사 서대문형무소 역사관 독립민주축제(무료관람, 야간개장) 웃음의여왕... <strong class=""hl"">서대문 독립민주축제</strong> 정보 ▼▽▼ 출처 : <strong class=""hl"">서대문 독립민주축제</strong> 홈페이지 참...</dd><dd class=""sh_blog_passage"">:) 잊지 마세요 ㅎㅎ <strong class=""hl"">서대문독립민주축제</strong>는 우리나라의 독립을 기뻐하고 자유와 평화, 민주가치를 미래세대와 함께 나누는 시민역사 문화 축제입니다. 2010년부터...</dd>"," <dd><strong class=""hl"">서대문 독립 민주 축제</strong>는 시민들과 광복의 기쁨을 함께 나누고 자유와 평화의 정신을 공유하기 위한 시민 역사축제인데요. 올해는 축제 개최 10주년을 맞아 독립민주지사의 사진과 업적을 담은 '풋프린팅 기념집'을...</dd><dd>서울 <strong class=""hl"">서대문</strong>형무소역사관의 <strong class=""hl"">독립민주축제</strong>, 서울·부산·대구·인천 등 각지의 타종행사, 대구 동성로 일대 태극기 플래시몹 등이 대표적이다. 행안부는 이번 행사의 성공적 개최를 위해 현장에 응급 의료진, 소방차...</dd>"
68,"신촌크리스마스
거리축제"," <dd class=""sh_blog_passage""><strong class=""hl"">신촌</strong>에 <strong class=""hl"">크리스마스</strong> <strong class=""hl"">축제</strong><strong class=""hl"">거리</strong>가 있다고 해서 냉큼 넘어왔는데요. 생각보다는 밍밍했어요. 낮에 다녀와서 그런가봐요. 제가 저녁에 나올 땐 분위기가 후끈후끈...</dd><dd class=""sh_blog_passage"">2018 <strong class=""hl"">신촌 크리스마스 거리축제</strong>는 12월 22일부터 25일까지 했는데요 신촌 연세로에서 열렸는데 규모가 꽤 컸어요! 눈꽃 거리 극장이라고 행사기간 동안 매일 오후에...</dd>"," <dd>다양한 국내외 수제 맥주를 음악 공연과 함께 즐길 수 있는 ‘제5회 <strong class=""hl"">신촌</strong>맥주<strong class=""hl"">축제</strong>’가 사흘간의 일정으로... 진행되는 <strong class=""hl"">크리스마스거리축제</strong> 등 누구나 즐길 수 있는 다양한 행사로 시민들에게 즐거움을 선사할 것”이라고...</dd><dd>긴 휴가기간도 없어 멀리 다녀오기도 힘들고, <strong class=""hl"">크리스마스</strong>를 제외하면 공휴일도 없기 때문에 여러모로 멀리... 보거나, <strong class=""hl"">신촌</strong> 로터리 <strong class=""hl"">거리</strong>에서 쇼핑을 하는 등의 선택지가 있다. 이외에도 서강대쪽에서는 연극공연이 많이...</dd><dd>겨울에는 <strong class=""hl"">크리스마스 거리축제</strong>를 연다. 이같이 크고 작은 민간행사들이 연간 600건 이상 열리고 있다. 민간 주도 행사 개최를 통해 지역이 장기적으로 발전할 수 있는 문화적 성장 동력을 키워나가는 식으로 <strong class=""hl"">신촌</strong> 상권을...</dd><dd>겨울에는 <strong class=""hl"">크리스마스 거리축제</strong>가 열린다. 하드웨어도 지속적으로 보강한다. 문화발전소라고 바람산 쪽에 지하에서 연극과 공연이 가능한 공간을 만들고 문화인들이 모여 기획을 할 수도 있다. <strong class=""hl"">신촌</strong>에 사용하지 않는...</dd><dd>서대문구는 오는 22일부터 성탄절인 25일까지, 나흘간 '<strong class=""hl"">신촌 크리스마스 거리축제</strong>'를 개최한다고 밝혔습니다. 징글벨콘서트, 눈꽃거리극장, 루돌프놀이터, 산타마켓 등 연세로를 찾은 시민들이 선물 같은 하루를 보낼 수...</dd>"
69,제7회 신촌물총축제," <dd class=""sh_blog_passage"">2019 <strong class=""hl"">제7회 신촌 물총축제</strong> 개최! 물총축제 시간, 꿀팁 안내! 뜨거운 여름, 신촌 연세로 차 없는 거리에서 '더위를 날려라' 더위에 지친 요즘, 놓치면 후회할 축제가...</dd><dd class=""sh_blog_passage"">출처 - 신촌물총축제 나는 물 축제로 유명한 태국의 송끄란축제 … 가 아니라... 있는 축제이다. 올해 개최된 <strong class=""hl"">제7회 신촌 물총 축제</strong>에는 10만 명의 사람들이 모였다고...</dd>"," <dd>지난 3일 신촌 물총축제 주최 측은 공식 페이스북 페이지를 통해 내일(6일)부터 7일까지 이틀간 신촌 연세로 일대에서 '<strong class=""hl"">제7회 신촌 물총축제</strong>'를 개최한다고 밝혔다.지난 2013년부터 여름마다 개최된 신촌 물총축제는 매년...</dd><dd>지난 6일 서대문구 신촌 연세로에서 열린 <strong class=""hl"">제7회 신촌 물총축제</strong>에서 시민들이 물총을 쏘고 있다. 이번 행사는 7일까지 계속된다. 2019.7.7 [서대문구청 제공. 재판매 및 DB 금지]</dd>"
70,안산 벚꽃음악회," <dd class=""sh_blog_passage"">저는 오늘 새벽 3시에 일어나서 어제 우리집 베란다에서 보이는 <strong class=""hl"">안산</strong> 자락길 연희숲속쉼터에서 관람한 <strong class=""hl"">벚꽃음악회</strong> 동영상을 다시 감상했지요. 해마다 <strong class=""hl"">벚꽃</strong>이 한창일 때...</dd><dd class=""sh_blog_passage"">서울 서대문 안산자락길 벚꽃음악회 방문 후기 19.04.07(일) 저녁 7시 참석 가수... 바람 <strong class=""hl"">안산 벚꽃음악회</strong> 공연 동영상 허니지 : 노을 청혼 공연 / <strong class=""hl"">안산벚꽃음악회</strong> 김연대...</dd>"," <dd>서울 서대문구 <strong class=""hl"">안산</strong>자락길에서 펼쳐지는 '2019 서대문 <strong class=""hl"">안산</strong>자락길 <strong class=""hl"">벚꽃음악회</strong>'는 4월 5일(금)부터 3일간 이어집니다. 서대문 <strong class=""hl"">안산</strong>은 매년 아름다운 선율이 산자락과 홍제천으로 울려 퍼지는 <strong class=""hl"">음악회</strong>가 함께해 매우...</dd>"
71,프랑스 거리음악축제," <dd class=""sh_blog_passage""><strong class=""hl"">프랑스 거리음악축제</strong> 신촌거리에서 신촌 오랜만에 방문 역시나 더위와 상관없이... 프랑스에서 매년 개최되는 대규모 음악축제를 신촌에서 개최하는 행사도 보고 말이지...</dd><dd class=""sh_blog_passage""><strong class=""hl"">프랑스 거리 음악 축제</strong>가 6. 21-23까지 열려 성료했다. 행사기간 시민들의 거리... 서대문구청장은 “<strong class=""hl"">프랑스 거리 음악 축제</strong>가 우리나라와 프랑스 두 나라가 음악을...</dd>"," <dd>이번 <strong class=""hl"">축제</strong>를 위해 특별히 <strong class=""hl"">프랑스</strong> 유명 재즈밴드 ‘플로랑스 다비스(Florence Davis) 퀸텟’도 초청됐다. 이외에도 전국에서 120개 팀이 참여하는 청년버스킹이 진행된다. 이들은 반포대로, 서초<strong class=""hl"">음악</strong>문화지구 악기<strong class=""hl"">거리</strong>...</dd>"
72,신촌맥주축제," <dd class=""sh_blog_passage"">22(일) 3일동안 신촌 차없는 거리에서 진행중인 <strong class=""hl"">신촌 맥주축제</strong> 후기 :) 태풍때문에 주말에 비가 올 거라 했는데 다행히! 아직 비는 오지 않았고 토요일 저녁은 맥주축제를...</dd><dd class=""sh_blog_passage"">2015년에 시작된 <strong class=""hl"">신촌 맥주축제</strong>는 초창기에는 독일의 ‘옥토버페스트’를, 2017년부터는 수제 맥주 축제를 컨셉으로 하여 젊음의 거리 신촌의 특색을 살린 축제로...</dd>"," <dd>나는 한국형 맥주축제의 현주소를 현장확인하기 위해 지난 9월20일 서울 <strong class=""hl"">신촌맥주축제</strong>, 지난 3일 재차 1박2일 일정으로 남해 독일마을 맥주축제(9회)에도 참석했다. 맥주에 대한 일반인의 인식이 조금씩 달라지고...</dd><dd>20일 오후 서울 서대문구 연세로 일대에서 열린 제5회 <strong class=""hl"">신촌맥주축제</strong>를 찾은 시민들이 맥주와 음식을 사들고 축제를 즐기고 있다. 올해 열린 <strong class=""hl"">신촌맥주축제</strong>는 '감성 한 줄, 맥주 한 잔'이라는 컨셉으로 진행되며 20여 개의...</dd>"
73,중국대사관연계행사," <dd class=""sh_blog_passage"">사진은 ANU에서 열린 CSSA 주관 <strong class=""hl"">행사</strong>의 한 장면. <strong class=""hl"">중국대사관</strong> 지원의 자치 단체로... CSSA가 <strong class=""hl"">중국</strong> 공산당 정부와 긴밀하게 <strong class=""hl"">연계</strong>되어 있음은 ABC 방송 시사 프로그램인...</dd><dd class=""sh_blog_passage"">대화’ <strong class=""hl"">행사</strong>에 <strong class=""hl"">연계</strong>하여 개최되었고 2017년 및 2018년도 서울에서의 치바이스 작품전시회에 이어 이루어져더 큰 의미가 있다.” 라고 전했습니다. ▶ Wu Wei Shan <strong class=""hl"">중국</strong>...</dd>"," <dd>이날 <strong class=""hl"">행사</strong>는 지난 8일'<strong class=""hl"">중국</strong>', 16일'덴마크'에 이어 세 번째로 진행한 '초대국가의 날'로, 관람객과 조직위원장인 한범덕 청주시장을 비롯해 주한 헝가리<strong class=""hl"">대사관</strong>의 안드레아 칼만 참사관, 헝가리 예술아카데미 큐레이터 샤러...</dd><dd> 권영길 기자 = 주한 노르웨이<strong class=""hl"">대사관</strong>에서 10월23일 오후 1시30분~8시30분까지 하얏트호텔 부산 볼륨... 2017년 노르웨이에서는 세계에서 EU·<strong class=""hl"">중국</strong>·미국 다음으로 한국은 네 번째 큰 수출시장이었고...</dd><dd>이날 포럼에는 김태균 민화협 사무처장, 나중출 주중한국<strong class=""hl"">대사관</strong> 통일관, 박용희 북경한국인회장, 서원기... 한반도 신경제구상, 북한 경제건설 총력 노선, <strong class=""hl"">중국</strong>의 일대일로, 러시아의 신동방 정책의 <strong class=""hl"">연계</strong>와 이를 통한...</dd><dd>8개국 <strong class=""hl"">대사관</strong>, 6개국 연구개발법인 등 총 22개 기관이 후원하는 명실상부한 세계 수준의 <strong class=""hl"">행사</strong>로 자리잡았다. 기술과 산업의 <strong class=""hl"">연계</strong>를 중시하는 전시회 나노테크는 수만 명에 달하는 관람자의 다양한 관심사를 두루...</dd><dd>항저우에서는 <strong class=""hl"">중국</strong> 최대 애니메이션 전시회인 CICAF와 <strong class=""hl"">연계</strong>해 <strong class=""hl"">중국</strong> 선도 애니메이션 바이어를 대거 유치할 수 있었다. (왼쪽부터) 왕쟈잉 베이징애니메이션·게임산업협회 부비서장, 백용천 주중한국<strong class=""hl"">대사관</strong> 경제공사...</dd><dd>특히, 이번 <strong class=""hl"">중국</strong>인유학생페스티벌 <strong class=""hl"">행사</strong>와 <strong class=""hl"">연계</strong>하여 주한<strong class=""hl"">중국대사관</strong>에서 청주대학교에 <strong class=""hl"">중국</strong> 도서 1만 5,000권을 전달하는 도서 기증식도 열렸다. 기증식에는 이시종 충청북도지사와 추궈홍 주한<strong class=""hl"">중국</strong>대사, 그리고 도서...</dd>"
74,신촌댄스경연대회," <dd class=""sh_blog_passage"">들을 위한 댄스경연대회! 일명 2019<strong class=""hl"">신촌댄스경연대회</strong> 를 소개해드리고자... 접수기한 : 2019.09.20.(금) 24:00 까지 장소 신촌 연세로 일시 1. 동영상 심사 2019.09....</dd><dd class=""sh_blog_passage"">2019 SDC Vol.4 본선 <strong class=""hl"">대회</strong> 안내 1. 행사 개요 ❍ 일반부 : 2019. 10. 5.(토) 16:00 ~ 20:00 ❍ 학생부 : 2019. 10. 6.(일) 13:00 ~ 17:00 ▮ 장 소 : <strong class=""hl"">신촌</strong> 연세로 특설무대(지하철 2호선...</dd>"," <dd>이색 뗏목을 만들어 선보이는 <strong class=""hl"">경연 대회</strong> ‘동강 퓨전뗏목 만들기’. 본 축제가 열리기 전 8월 3일 동강... 더위 시원하게 날려버릴 동강 물총축제도 열려 올해 동강뗏목축제에는 ‘<strong class=""hl"">신촌</strong>물총축제’를 영월군에서 재현하는...</dd><dd>생활체육<strong class=""hl"">경연대회</strong>'를 개최합니다. 어르신 35개 팀이 전통무용과 <strong class=""hl"">댄스</strong>스포츠 등 15개 종목에 참가합니다. 2. 서대문구, 30일 청년 창업 포럼 개최 (이정윤 기자) 서대문구가 오는 30일 '<strong class=""hl"">신촌</strong>, 파랑고래'에서 취미를 발전시켜...</dd><dd>‘원더풀 페스티벌’은 오는 6월과 10월, 12월에도 <strong class=""hl"">신촌</strong> 연세로에서 인디밴드 한일전, <strong class=""hl"">댄스경연대회</strong> 등의 내용으로 펼쳐질 예정이다. 문석진 서대문구청장은 “이번 행사에 참여하는 많은 내외국인들이 서로의 문화에...</dd>"
75,서대문 책으로 책축제," <dd class=""sh_blog_passage""><strong class=""hl"">서대문</strong> 구립 이진아도서관 <strong class=""hl"">책 축제</strong>. (9월 12일~ 13일) 2주만에 책반납하러 들른... 스케쥴 첫번째는 어제 다 못한 <strong class=""hl"">축제</strong> 즐기기. 도서관 앞 놀이터에는 그늘이 있어서 잠시...</dd><dd class=""sh_blog_passage"">계림북스에서 <strong class=""hl"">서대문</strong><strong class=""hl"">책축제</strong>가 있음을 알게 되었고, 또 이 <strong class=""hl"">축제</strong>에서 멋진 수업을 한다는 소식을 접하고 바로 신청... 집에서는 조금 먼 거리였지만 아이들과 신나게 출발...</dd>"," <dd><strong class=""hl"">책</strong> 벼룩시장, 작은도서관 존, 공유 돗자리 도서관, 추억이 놀이터도 마련된다. 또 <strong class=""hl"">책</strong> 읽어주는 ‘동화버스... ‘구름빵’ 공연을 한다”며 “<strong class=""hl"">책 축제</strong>와 관련된 내용은 <strong class=""hl"">서대문</strong>구립도서관 홈페이지에 안내돼 있다”고 말했다.</dd><dd>서울에선 ‘<strong class=""hl"">서대문책으로</strong>’ 축제, 도봉구 <strong class=""hl"">책축제</strong> 등 1530건의 행사가 열리고, 부산에서는 희망나눔 북캠프 등 580건, 대전에선 책문화 어울마당 등 86건, 인천은 달빛 <strong class=""hl"">책축제</strong> 등 405건, 광주는 북페스티벌 등 207건...</dd><dd>계약기관 : 서울특별시<strong class=""hl"">서대문</strong>구도시관리공단, 계약일자 : 2019-10-07, 계약방법 : 수의계약, 발주처... ▲ 낙찰업체 : 주식회사 뉴평화관광여행사, 계약금액 : 275,000(원), 계약명 : 4,5학년 현장체험학습(<strong class=""hl"">책축제</strong>) 차량...</dd><dd>강서구, 독서의 달 맞아 9월 한 달간 '<strong class=""hl"">책축제</strong>' (김대우 기자) 강서구가 독서의 달을 맞아 9월 한 달 동안 지역 내 8개 도서관과 함께 책과 관련된 다양한 축제를 엽니다. (문의: 02-2600-6986) 3. <strong class=""hl"">서대문</strong>구, 윤동주 추모...</dd><dd>시상식은 세 부문(독서동아리 부문, <strong class=""hl"">책 축제</strong> 부문, 한 도서관 한 <strong class=""hl"">책</strong> 읽기 부문)으로 나뉘어... 장영미(<strong class=""hl"">서대문</strong>구립이진아기념도서관), 정희영(면북초등학교), 김지우, 성소현(동국대학교), 임채현...</dd><dd>[일요신문] 서울시 대표 <strong class=""hl"">책축제</strong>「제8회 서울 북 페스티벌, 도서관아! 놀자」가 10월 23일부터 25일까지 3일간... <strong class=""hl"">서대문</strong>자연사박물관과 협력하여 공룡을 중심으로 휴먼북, 토크쇼 ‘그 많던 공룡은 어디로 갔을까?’ 등...</dd><dd>마포공동체라디오는 주파수 FM 100.7㎒로 서울 마포구와 <strong class=""hl"">서대문</strong> 일부를 방송권역으로 하는 공동체라디오... 소통과 의제발굴을 위한 타운미팅, 마을공동체문화를 위한 마을합창페스티벌, 마포동네 <strong class=""hl"">책축제</strong>를 비롯해...</dd><dd>가정으로 <strong class=""hl"">책</strong> 배달 서비스까지 다양한 프로그램을 마련했다. 22일 각 구청에 따르면 <strong class=""hl"">서대문</strong>구는 오는 24... 강서마을 <strong class=""hl"">책축제</strong>’를 지난 3일부터 오는 28일까지 진행한다. 또 영등포구는 내달 7∼8일 이틀간 구청 앞마당과...</dd><dd>【베이비뉴스 안은선 기자】 서울시 대표 <strong class=""hl"">책축제</strong> 제8회 서울 북 페스티벌, 도서관아! 놀자가 오는 23일부터... <strong class=""hl"">서대문</strong>자연사박물관과 협력해 공룡을 중심으로 휴먼북, 토크쇼 ‘그 많던 공룡은 어디로 갔을까?’ 등 다양한...</dd>"
76,제7회 도심 속 바다축제," <dd class=""sh_blog_passage"">12일과 13일 양일간 노량진수산시장 일대에서 ‘<strong class=""hl"">제7회 도심 속 바다축제</strong>’를 개최했다. 도심 속 바다축제는 매회 35여만명의 방문객이 찾는 서울의 대표축제이다. 국내...</dd><dd class=""sh_blog_passage"">매년 노량진수산시장에서 열리는 도심속바다축제가 올해로 7번째를... https://www.dof.or.kr/blank-16 참여 프로그램 | <strong class=""hl"">제7회 도심속바다축제</strong> 참여 프로그램 노량진...</dd>"," <dd>몽고식품(대표 황을경)은 ""동작구에서 오는 12일~13일 동안 개최된 노량진 수산시장의 '<strong class=""hl"">제 7회 도심 속 바다축제</strong>'에 몽고간장 선물세트를 공식 후원했다""라고 밝혔다. 2011년부터 개최되고 있는 '<strong class=""hl"">도심 속 바다축제</strong>'는 '서울...</dd><dd>수협노량진수산(주)(대표이사 안재문)가 노량진 수산시장에서 개최한 ‘<strong class=""hl"">제7회 도심 속 바다축제</strong>’에 35만명여명의 인파가 몰려 성황을 이뤘다. ‘<strong class=""hl"">제7회 도심 속 바다축제</strong>’는 ‘<strong class=""hl"">바다</strong>, 다시 태어나다’라는...</dd><dd>수협노량진수산주식회사(대표이사 안재문)는 지난 12~13일 서울 동작구 노량진수산시장에서 열린 '<strong class=""hl"">제7회 도심 속 바다축제</strong>'에 약 35만 명의 인파가 참여한 가운데 성공적으로 행사를 마쳤다고 16일 밝혔다. 구시장 상인들의...</dd><dd>12일 동작구 노량진 수산시장에서 열린 <strong class=""hl"">제7회 도심 속 바다축제</strong>를 찾은 시민들이 야외에 마련된 먹거리 장터에서 신선한 해산물 요리를 즐기고 있다. (동작구청 제공) 2019.10.15/뉴스1</dd><dd>고려직업전문학교(이하 고려전) 호텔조리전공 학생들이 지난 10월 12일 토요일 노량진 수산시장에서 열린 ‘<strong class=""hl"">제 7회 도심속 바다축제</strong>, 수산시장을 부탁해’의 전국 수산물 요리경연대회에서 유승우, 김지훈 학생이...</dd><dd>13일 서울 동작구 노량진 수산시장에서 열린 <strong class=""hl"">제7회 도심속바다축제</strong>에서 시민들이 야외식당에서 신선한 해산물 요리를 즐기고 있다. 2019.10.13</dd>"
